DateTime,zone1,zone2,zone3,zone4,zone5,zone6,zone7
9/15/22 13:40,"146,37","177,75","190,86","93,54","13,33","13,89","166,64"
9/15/22 13:50,"142,44","185,26","196,35","93,53","13,70","14,04","172,06"
9/15/22 14:00,"138,27","180,68","192,26","98,92","13,85","14,24","162,66"
9/15/22 14:10,"136,45","187,44","197,58","98,76","13,89","14,27","151,70"
9/15/22 14:20,"139,02","187,20","205,12","98,54","13,78","14,50","146,83"
9/15/22 14:30,"141,75","188,27","204,65","101,11","14,13","14,01","149,48"
9/15/22 14:40,"135,21","189,28","203,21","105,08","14,36","13,24","154,16"
9/15/22 14:50,"139,64","184,16","210,39","100,51","13,20","12,12","151,98"
9/15/22 15:00,"143,42","180,41","209,90","105,09","11,27","11,56","147,65"
9/15/22 15:10,"137,69","179,98","207,13","102,09","11,39","10,76","156,23"
9/15/22 15:20,"141,21","179,82","203,52","97,14","11,68","10,68","160,80"
9/15/22 15:30,"138,75","174,84","195,37","97,20","10,93","10,73","166,57"
9/15/22 15:40,"143,71","182,37","191,30","99,56","10,87","10,51","163,53"
9/15/22 15:50,"149,44","194,48","194,66","103,36","11,35","10,59","158,47"
9/15/22 16:00,"145,31","202,84","201,01","104,74","11,21","10,49","163,56"
9/15/22 16:10,"146,74","206,16","199,92","103,62","11,64","10,36","161,01"
9/15/22 16:20,"143,30","214,35","195,61","105,04","11,87","10,07","165,76"
9/15/22 16:30,"142,49","213,65","194,47","104,33","13,35","10,14","175,37"
9/15/22 16:40,"139,47","211,47","204,74","102,05","17,49","10,34","188,59"
9/15/22 16:50,"145,85","205,42","197,12","98,86","18,95","10,01","195,93"
9/15/22 17:00,"145,92","201,31","189,19","101,13","18,18","10,33","197,22"
9/15/22 17:10,"142,24","215,79","197,19","103,93","16,56","10,11","191,72"
9/15/22 17:20,"141,10","210,58","190,97","105,80","17,04","10,70","189,09"
9/15/22 17:30,"140,85","207,51","186,50","107,55","16,82","10,31","181,04"
9/15/22 17:40,"145,16","206,66","188,20","106,34","16,38","10,23","175,17"
9/15/22 17:50,"146,82","210,06","190,26","110,69","15,92","10,16","180,51"
9/15/22 18:00,"142,57","210,26","193,98","108,94","15,92","10,40","181,19"
9/15/22 18:10,"144,89","209,09","200,41","106,33","16,37","10,60","176,75"
9/15/22 18:20,"143,67","197,05","187,47","101,08","17,46","10,51","173,14"
9/15/22 18:30,"143,22","211,46","188,25","108,95","18,16","10,77","176,29"
9/15/22 18:40,"146,87","217,57","186,02","111,07","18,50","10,38","177,98"
9/15/22 18:50,"146,65","222,17","186,95","109,85","18,44","10,15","185,30"
9/15/22 19:00,"147,53","216,89","184,99","108,04","17,70","10,50","178,75"
9/15/22 19:10,"148,41","217,62","185,80","110,73","18,00","10,16","178,15"
9/15/22 19:20,"151,33","217,41","182,81","112,11","18,10","10,83","178,63"
9/15/22 19:30,"149,08","212,47","180,91","108,39","18,24","10,71","176,02"
9/15/22 19:40,"154,10","217,73","182,90","107,10","17,34","10,92","172,76"
9/15/22 19:50,"153,29","224,50","194,49","106,10","17,21","11,21","168,51"
9/15/22 20:00,"150,23","231,99","202,18","110,16","17,15","12,24","163,73"
9/15/22 20:10,"141,00","234,56","199,89","109,94","16,85","13,63","156,04"
9/15/22 20:20,"144,35","236,33","201,49","111,07","16,48","15,81","156,16"
9/15/22 20:30,"142,14","230,45","200,55","110,93","16,48","16,01","171,60"
9/15/22 20:40,"139,84","232,61","196,31","110,81","16,96","17,70","171,78"
9/15/22 20:50,"140,26","239,91","194,13","109,33","16,63","18,54","177,65"
9/15/22 21:00,"139,02","238,01","191,72","108,26","14,05","18,29","177,25"
9/15/22 21:10,"134,73","233,62","194,25","106,26","13,50","18,21","180,33"
9/15/22 21:20,"134,87","240,54","196,72","106,24","13,64","18,26","196,77"
9/15/22 21:30,"131,05","245,97","195,84","106,76","14,17","17,93","207,01"
9/15/22 21:40,"129,15","236,01","192,21","107,58","14,20","18,02","205,99"
9/15/22 21:50,"127,64","229,11","191,79","108,48","14,32","17,86","203,40"
9/15/22 22:00,"130,46","224,53","189,92","107,72","14,55","17,99","203,56"
9/15/22 22:10,"133,95","216,13","189,17","106,74","14,71","18,25","203,47"
9/15/22 22:20,"133,37","209,48","190,54","107,21","13,47","18,02","200,36"
9/15/22 22:30,"133,56","207,70","188,98","107,37","11,47","17,79","202,53"
9/15/22 22:40,"132,97","212,09","187,08","106,87","10,70","18,02","199,00"
9/15/22 22:50,"129,33","207,29","189,73","106,86","11,61","18,49","202,40"
9/15/22 23:00,"132,90","198,88","189,87","106,11","11,50","17,94","201,28"
9/15/22 23:10,"139,22","197,95","187,89","102,94","11,23","17,86","194,34"
9/15/22 23:20,"143,35","197,28","187,85","100,67","11,33","17,76","202,45"
9/15/22 23:30,"136,70","201,05","186,07","99,86","11,35","17,66","204,37"
9/15/22 23:40,"122,20","202,54","186,80","99,78","11,46","17,37","201,41"
9/15/22 23:50,"130,77","203,26","187,04","98,71","11,58","18,05","189,44"
9/16/22 0:00,"132,67","195,72","185,02","98,82","11,17","17,91","188,28"
9/16/22 0:10,"129,57","186,71","184,98","98,14","11,11","17,70","188,73"
9/16/22 0:20,"133,36","184,88","184,50","97,61","10,75","17,95","181,43"
9/16/22 0:30,"134,10","186,31","182,51","97,10","11,14","17,77","182,00"
9/16/22 0:40,"134,78","182,67","178,24","92,23","11,02","17,63","182,40"
9/16/22 0:50,"132,13","181,98","174,27","93,65","11,09","17,60","178,66"
9/16/22 1:00,"130,33","181,26","173,70","92,40","10,88","17,48","178,20"
9/16/22 1:10,"128,88","186,16","176,64","93,18","10,52","16,95","181,44"
9/16/22 1:20,"133,70","189,61","171,14","93,12","10,08","16,74","184,08"
9/16/22 1:30,"134,45","187,01","173,72","93,43","9,57","16,52","191,53"
9/16/22 1:40,"131,74","184,97","175,66","91,25","9,54","16,51","185,97"
9/16/22 1:50,"133,82","179,89","180,03","91,75","9,36","15,86","186,56"
9/16/22 2:00,"133,21","175,61","178,62","90,66","9,98","15,79","180,28"
9/16/22 2:10,"132,87","176,88","178,85","91,11","9,38","15,65","172,36"
9/16/22 2:20,"135,59","176,72","180,02","90,33","9,04","15,25","171,04"
9/16/22 2:30,"133,66","177,20","179,84","88,90","8,98","15,38","171,27"
9/16/22 2:40,"136,78","178,53","182,11","88,91","9,09","14,89","173,22"
9/16/22 2:50,"126,89","176,59","180,28","89,12","8,91","15,31","174,99"
9/16/22 3:00,"129,28","176,73","180,18","88,68","9,33","15,21","172,10"
9/16/22 3:10,"126,07","173,28","177,51","89,36","9,74","15,02","170,37"
9/16/22 3:20,"122,12","173,81","179,57","89,70","9,93","14,46","171,76"
9/16/22 3:30,"122,61","166,79","179,02","89,14","9,91","14,75","175,39"
9/16/22 3:40,"127,85","159,93","179,94","89,05","9,47","14,57","173,35"
9/16/22 3:50,"126,12","161,12","177,47","89,26","9,05","14,56","168,49"
9/16/22 4:00,"126,55","162,11","177,84","89,04","9,08","14,32","176,24"
9/16/22 4:10,"125,89","162,44","176,98","89,35","9,26","14,54","173,24"
9/16/22 4:20,"124,21","162,73","177,39","88,85","10,54","14,41","171,77"
9/16/22 4:30,"124,43","159,43","174,64","88,97","11,20","14,52","171,12"
9/16/22 4:40,"125,13","151,63","178,13","89,13","10,78","14,93","178,26"
9/16/22 4:50,"124,37","150,94","180,11","89,53","10,37","14,58","171,89"
9/16/22 5:00,"124,23","153,04","179,02","89,42","10,70","14,72","164,62"
9/16/22 5:10,"128,97","156,89","177,31","89,39","10,31","14,73","165,05"
9/16/22 5:20,"129,02","156,21","177,45","88,79","10,57","14,70","166,46"
9/16/22 5:30,"125,85","154,55","179,03","88,11","10,39","14,76","165,25"
9/16/22 5:40,"124,05","158,87","178,23","88,71","12,09","14,54","165,41"
9/16/22 5:50,"123,56","159,15","176,33","88,54","14,21","14,47","167,99"
9/16/22 6:00,"122,80","156,49","173,36","89,28","14,14","14,55","163,83"
9/16/22 6:10,"121,84","157,49","175,03","89,51","13,98","14,88","166,26"
9/16/22 6:20,"121,11","157,10","174,75","89,11","14,58","14,54","164,10"
9/16/22 6:30,"121,84","162,85","174,15","88,63","14,53","14,63","158,50"
9/16/22 6:40,"125,41","163,13","172,85","88,18","15,39","14,42","162,31"
9/16/22 6:50,"123,62","164,04","171,88","87,98","16,36","14,32","157,74"
9/16/22 7:00,"123,60","160,44","170,55","91,18","17,16","14,22","162,35"
9/16/22 7:10,"122,76","149,79","169,35","93,41","17,76","13,93","164,03"
9/16/22 7:20,"121,76","149,45","171,16","91,98","17,23","13,36","151,47"
9/16/22 7:30,"124,36","148,88","170,88","92,38","17,63","12,35","158,23"
9/16/22 7:40,"130,22","146,89","166,17","91,77","17,96","11,58","155,73"
9/16/22 7:50,"132,87","142,09","167,42","91,89","18,40","10,30","152,52"
9/16/22 8:00,"137,53","139,56","171,33","92,14","18,34","10,42","157,04"
9/16/22 8:10,"146,90","140,23","171,38","93,61","18,58","10,97","154,05"
9/16/22 8:20,"153,06","146,07","171,56","90,19","19,05","11,15","160,71"
9/16/22 8:30,"154,28","150,96","171,25","88,49","19,57","11,20","164,98"
9/16/22 8:40,"152,79","153,44","176,48","86,18","19,12","11,06","164,29"
9/16/22 8:50,"151,91","150,39","177,23","86,19","19,10","11,13","159,36"
9/16/22 9:00,"154,22","152,14","181,91","86,02","18,29","11,30","161,91"
9/16/22 9:10,"157,07","149,13","184,32","87,14","18,41","11,56","167,59"
9/16/22 9:20,"153,68","151,87","183,12","88,42","19,03","11,02","158,52"
9/16/22 9:30,"157,59","150,16","184,10","90,96","19,16","11,18","157,32"
9/16/22 9:40,"157,14","150,89","184,32","90,27","19,47","11,13","156,31"
9/16/22 9:50,"139,78","146,71","183,77","91,69","19,27","11,59","152,39"
9/16/22 10:00,"137,80","140,68","185,78","92,49","18,85","10,14","151,54"
9/16/22 10:10,"144,47","141,06","185,68","92,28","18,93","10,02","154,05"
9/16/22 10:20,"149,38","147,92","188,71","85,41","18,17","10,03","162,90"
9/16/22 10:30,"147,10","158,12","190,50","83,40","17,16","10,33","165,33"
9/16/22 10:40,"146,73","165,92","192,18","83,80","16,54","10,38","153,37"
9/16/22 10:50,"146,03","168,30","190,09","84,31","17,12","10,15","140,52"
9/16/22 11:00,"149,43","168,99","192,82","84,08","19,13","10,06","136,67"
9/16/22 11:10,"146,46","180,48","200,87","85,76","18,59","10,69","138,36"
9/16/22 11:20,"145,53","185,62","197,95","87,43","18,04","10,86","146,59"
9/16/22 11:30,"145,55","191,66","197,29","86,24","17,98","10,84","142,62"
9/16/22 11:40,"142,91","191,39","197,63","87,26","17,99","10,85","141,31"
9/16/22 11:50,"140,14","189,58","195,99","87,19","18,04","10,74","145,64"
9/16/22 12:00,"138,99","195,58","194,72","88,39","18,50","10,94","144,74"
9/16/22 12:10,"139,00","206,51","198,94","90,18","18,38","10,59","148,07"
9/16/22 12:20,"129,94","203,22","196,67","89,27","18,47","10,40","142,02"
9/16/22 12:30,"130,70","200,91","192,73","88,60","17,24","10,63","150,68"
9/16/22 12:40,"132,65","200,10","190,86","87,61","17,23","11,08","149,79"
9/16/22 12:50,"133,42","192,16","194,35","90,17","16,30","11,11","142,54"
9/16/22 13:00,"131,43","191,48","192,18","92,21","15,80","11,30","150,85"
9/16/22 13:10,"133,29","193,52","193,14","90,54","15,76","11,85","154,59"
9/16/22 13:20,"130,35","199,24","195,37","89,54","15,34","11,71","152,23"
9/16/22 13:30,"128,87","201,17","196,45","89,88","15,27","11,84","146,12"
9/16/22 13:40,"124,43","199,89","196,37","88,01","15,37","11,59","140,11"
9/16/22 13:50,"121,84","199,16","201,74","86,53","15,00","11,29","145,97"
9/16/22 14:00,"114,92","194,58","193,83","84,25","14,58","12,03","145,36"
9/16/22 14:10,"115,01","187,01","192,69","84,32","14,66","11,85","142,30"
9/16/22 14:20,"114,25","185,06","191,65","85,57","14,34","11,29","139,90"
9/16/22 14:30,"116,16","187,17","194,73","84,92","14,15","11,74","144,50"
9/16/22 14:40,"120,10","194,99","198,17","85,22","14,50","11,56","148,21"
9/16/22 14:50,"119,71","192,80","199,40","85,13","13,92","11,01","155,72"
9/16/22 15:00,"122,76","195,05","200,51","83,46","12,60","10,42","158,99"
9/16/22 15:10,"124,37","195,93","203,22","86,96","12,37","10,40","163,45"
9/16/22 15:20,"128,63","199,60","201,90","87,67","12,40","10,57","163,94"
9/16/22 15:30,"128,25","205,53","205,61","88,44","12,70","10,52","172,36"
9/16/22 15:40,"126,94","219,88","204,25","87,44","13,23","10,40","177,19"
9/16/22 15:50,"129,69","222,13","201,25","85,66","13,66","10,52","165,69"
9/16/22 16:00,"130,26","225,46","196,89","88,09","12,83","10,30","171,80"
9/16/22 16:10,"131,52","219,87","194,58","93,22","13,48","10,30","167,13"
9/16/22 16:20,"139,84","217,48","194,84","91,83","14,70","10,01","168,19"
9/16/22 16:30,"134,95","210,79","199,38","89,67","16,33","9,76","171,82"
9/16/22 16:40,"132,36","207,01","204,36","89,87","16,69","9,80","172,36"
9/16/22 16:50,"136,19","207,19","203,63","87,96","16,38","10,28","170,16"
9/16/22 17:00,"135,53","197,02","203,14","87,25","16,10","9,67","164,66"
9/16/22 17:10,"136,48","193,19","204,05","87,07","16,73","9,96","160,45"
9/16/22 17:20,"139,54","191,61","204,82","87,72","16,49","9,98","161,38"
9/16/22 17:30,"144,97","190,13","206,25","88,00","19,03","10,28","164,19"
9/16/22 17:40,"139,77","186,45","202,56","87,37","18,94","10,12","171,45"
9/16/22 17:50,"138,28","189,51","202,53","90,33","18,81","9,73","167,70"
9/16/22 18:00,"139,21","194,94","202,96","90,73","19,05","9,63","169,67"
9/16/22 18:10,"135,80","196,41","201,42","90,87","18,81","10,24","167,02"
9/16/22 18:20,"135,51","195,77","199,69","90,53","18,54","10,25","166,54"
9/16/22 18:30,"132,68","201,60","198,41","89,51","17,64","10,26","180,38"
9/16/22 18:40,"131,41","205,50","198,78","90,64","17,36","10,18","180,25"
9/16/22 18:50,"134,15","200,91","200,86","91,26","16,83","10,03","180,98"
9/16/22 19:00,"138,15","202,42","199,30","95,17","16,37","9,85","185,05"
9/16/22 19:10,"140,60","209,31","201,67","94,49","16,53","9,84","188,53"
9/16/22 19:20,"143,14","209,53","203,59","97,89","16,08","9,92","189,14"
9/16/22 19:30,"138,88","217,39","206,47","96,96","15,43","10,26","191,91"
9/16/22 19:40,"135,04","216,46","204,75","99,45","16,11","10,09","190,40"
9/16/22 19:50,"137,18","216,65","206,17","103,51","16,35","11,09","178,37"
9/16/22 20:00,"132,95","218,53","208,49","105,94","16,82","12,36","171,78"
9/16/22 20:10,"131,01","218,22","208,89","101,04","16,58","14,55","165,82"
9/16/22 20:20,"133,38","211,51","208,97","100,60","16,38","16,56","165,91"
9/16/22 20:30,"135,46","205,68","206,83","97,94","16,59","16,16","167,58"
9/16/22 20:40,"133,20","208,53","206,03","100,52","16,29","15,80","175,38"
9/16/22 20:50,"127,59","215,66","202,70","100,77","16,20","15,92","175,04"
9/16/22 21:00,"129,34","219,49","203,77","93,51","16,28","16,16","170,32"
9/16/22 21:10,"124,09","213,78","201,40","87,47","15,83","16,42","170,73"
9/16/22 21:20,"127,69","207,36","197,79","85,97","14,69","15,74","163,75"
9/16/22 21:30,"129,60","199,57","198,91","76,26","14,30","15,66","162,73"
9/16/22 21:40,"123,15","200,27","199,05","75,18","14,28","15,84","162,70"
9/16/22 21:50,"118,69","198,99","195,09","73,38","13,98","15,90","173,58"
9/16/22 22:00,"118,53","199,17","194,59","75,40","13,73","15,83","179,15"
9/16/22 22:10,"122,16","198,38","195,04","78,20","14,14","16,37","179,30"
9/16/22 22:20,"121,07","194,08","191,43","74,59","14,20","16,24","173,23"
9/16/22 22:30,"128,52","193,49","191,93","74,94","14,62","17,01","177,62"
9/16/22 22:40,"135,30","198,22","193,68","75,23","14,86","16,74","173,09"
9/16/22 22:50,"133,66","199,07","193,39","75,23","16,25","16,40","178,47"
9/16/22 23:00,"130,49","198,10","188,71","74,88","16,84","16,34","175,89"
9/16/22 23:10,"132,15","197,53","187,00","75,08","15,96","15,92","171,04"
9/16/22 23:20,"132,54","193,25","186,40","74,34","15,97","16,20","178,87"
9/16/22 23:30,"131,16","194,05","181,87","73,63","16,55","15,90","182,60"
9/16/22 23:40,"129,32","194,50","180,51","73,12","16,61","15,91","187,01"
9/16/22 23:50,"128,39","190,78","174,84","73,37","15,98","15,90","188,05"
9/17/22 0:00,"130,27","186,30","173,04","72,78","15,78","15,71","187,30"
9/17/22 0:10,"131,38","180,01","173,82","68,35","15,35","15,72","185,36"
9/17/22 0:20,"129,95","176,96","170,33","66,89","14,83","14,99","185,79"
9/17/22 0:30,"128,13","183,12","167,69","66,61","14,17","15,11","181,23"
9/17/22 0:40,"128,89","182,39","169,83","66,33","13,90","15,02","181,50"
9/17/22 0:50,"125,84","176,79","170,92","66,29","10,09","15,02","177,66"
9/17/22 1:00,"126,54","167,24","169,12","66,39","10,37","14,83","177,55"
9/17/22 1:10,"126,91","158,82","169,55","66,81","10,52","14,91","176,45"
9/17/22 1:20,"125,06","161,40","171,29","66,59","9,86","14,55","174,78"
9/17/22 1:30,"123,65","158,03","171,29","66,55","9,74","14,50","173,25"
9/17/22 1:40,"122,81","160,22","164,78","65,94","9,66","14,18","174,74"
9/17/22 1:50,"122,63","156,55","156,97","66,12","9,65","14,05","170,80"
9/17/22 2:00,"122,04","157,21","152,93","66,26","8,96","13,85","169,04"
9/17/22 2:10,"124,22","156,17","141,32","65,70","9,10","13,51","166,38"
9/17/22 2:20,"120,08","153,55","138,92","64,81","9,30","13,29","160,99"
9/17/22 2:30,"117,82","155,58","136,54","64,06","9,54","13,44","159,99"
9/17/22 2:40,"108,86","157,72","140,15","64,39","9,78","13,12","151,66"
9/17/22 2:50,"109,92","160,32","140,18","63,93","9,69","12,86","148,52"
9/17/22 3:00,"109,50","154,84","137,94","64,03","8,99","12,72","151,08"
